process;interval;num_changes;intervalindex
S0 R0 D3;[-0.1, 0.2];5526.0;0
S0 R0 D3;[0.2, 0.4];0.0;1
S0 R0 D3;[0.4, 0.6];0.0;2
S0 R0 D3;[0.6, 0.8];0.0;3
S0 R0 D3;[0.8, 1.0];0.0;4
S0 R0 D3;[1.0, 1.2];0.0;5
S0 R0 D3;[1.2, 1.4];0.0;6
S0 R0 D3;[1.4, 1.6];0.0;7
S0 R0 D3;[1.6, 1.8];0.0;8
S0 R0 D3;[1.8, 2.0];0.0;9
S0 R0 D3;[2.0, 2.5];0.0;10
S0 R0 D3;[2.5, 3.0];0.0;11
S0 R0 D3;[3.0, 3.5];0.0;12
S0 R0 D3;[3.5, 4.0];0.0;13
S0 R0 D3;[4.0, 4.5];0.0;14
S0 R0 D3;[4.5, 5.0];0.0;15
S0 R0 D3;[5.0, 6.0];0.0;16
S0 R0 D3;[6.0, 7.0];0.0;17
S0 R0 D3;[7.0, 8.0];0.0;18
S0 R0 D3;[8.0, 9.0];0.0;19
S0 R0 D3;[9.0, 10.0];0.0;20
S0 R0 D3;[10.0, 11.0];0.0;21
S0 R0 D3;[11.0, 12.0];0.0;22
S0 R0 D3;[12.0, 13.0];0.0;23
S0 R0 D3;[13.0, 14.0];0.0;24
S0 R0 D3;[14.0, 15.0];0.0;25
S0 R0 D3;[15.0, 20.0];0.0;26
S0 R0 D3;[20.0, 25.0];0.0;27
S0 R0 D3;[25.0, 30.0];0.0;28
S0 R0 D3;[30.0, 35.0];0.0;29
S0 R0 D3;[35.0, 40.0];0.0;30
S0 R0 D3;[40.0, 45.0];0.0;31
S0 R0 D3;[45.0, 50.0];0.0;32
S0 R0 D3;[50.0, 60.0];0.0;33
S0 R0 D3;[60.0, 70.0];0.0;34
S0 R0 D3;[70.0, 80.0];0.0;35
S0 R0 D3;[80.0, 90.0];0.0;36
S0 R0 D3;[90.0, 100.0];0.0;37
S0 R0 D3;[100.0, 10000];0.0;38
S100 R2 D0;[-0.1, 0.2];2275.0;0
S100 R2 D0;[0.2, 0.4];343.0;1
S100 R2 D0;[0.4, 0.6];219.0;2
S100 R2 D0;[0.6, 0.8];177.0;3
S100 R2 D0;[0.8, 1.0];136.0;4
S100 R2 D0;[1.0, 1.2];112.0;5
S100 R2 D0;[1.2, 1.4];93.0;6
S100 R2 D0;[1.4, 1.6];82.0;7
S100 R2 D0;[1.6, 1.8];90.0;8
S100 R2 D0;[1.8, 2.0];83.0;9
S100 R2 D0;[2.0, 2.5];228.0;10
S100 R2 D0;[2.5, 3.0];189.0;11
S100 R2 D0;[3.0, 3.5];199.0;12
S100 R2 D0;[3.5, 4.0];200.0;13
S100 R2 D0;[4.0, 4.5];197.0;14
S100 R2 D0;[4.5, 5.0];129.0;15
S100 R2 D0;[5.0, 6.0];209.0;16
S100 R2 D0;[6.0, 7.0];168.0;17
S100 R2 D0;[7.0, 8.0];122.0;18
S100 R2 D0;[8.0, 9.0];73.0;19
S100 R2 D0;[9.0, 10.0];51.0;20
S100 R2 D0;[10.0, 11.0];43.0;21
S100 R2 D0;[11.0, 12.0];30.0;22
S100 R2 D0;[12.0, 13.0];21.0;23
S100 R2 D0;[13.0, 14.0];16.0;24
S100 R2 D0;[14.0, 15.0];18.0;25
S100 R2 D0;[15.0, 20.0];23.0;26
S100 R2 D0;[20.0, 25.0];0.0;27
S100 R2 D0;[25.0, 30.0];0.0;28
S100 R2 D0;[30.0, 35.0];0.0;29
S100 R2 D0;[35.0, 40.0];0.0;30
S100 R2 D0;[40.0, 45.0];0.0;31
S100 R2 D0;[45.0, 50.0];0.0;32
S100 R2 D0;[50.0, 60.0];0.0;33
S100 R2 D0;[60.0, 70.0];0.0;34
S100 R2 D0;[70.0, 80.0];0.0;35
S100 R2 D0;[80.0, 90.0];0.0;36
S100 R2 D0;[90.0, 100.0];0.0;37
S100 R2 D0;[100.0, 10000];0.0;38
original;[-0.1, 0.2];5526.0;0
original;[0.2, 0.4];0.0;1
original;[0.4, 0.6];0.0;2
original;[0.6, 0.8];0.0;3
original;[0.8, 1.0];0.0;4
original;[1.0, 1.2];0.0;5
original;[1.2, 1.4];0.0;6
original;[1.4, 1.6];0.0;7
original;[1.6, 1.8];0.0;8
original;[1.8, 2.0];0.0;9
original;[2.0, 2.5];0.0;10
original;[2.5, 3.0];0.0;11
original;[3.0, 3.5];0.0;12
original;[3.5, 4.0];0.0;13
original;[4.0, 4.5];0.0;14
original;[4.5, 5.0];0.0;15
original;[5.0, 6.0];0.0;16
original;[6.0, 7.0];0.0;17
original;[7.0, 8.0];0.0;18
original;[8.0, 9.0];0.0;19
original;[9.0, 10.0];0.0;20
original;[10.0, 11.0];0.0;21
original;[11.0, 12.0];0.0;22
original;[12.0, 13.0];0.0;23
original;[13.0, 14.0];0.0;24
original;[14.0, 15.0];0.0;25
original;[15.0, 20.0];0.0;26
original;[20.0, 25.0];0.0;27
original;[25.0, 30.0];0.0;28
original;[30.0, 35.0];0.0;29
original;[35.0, 40.0];0.0;30
original;[40.0, 45.0];0.0;31
original;[45.0, 50.0];0.0;32
original;[50.0, 60.0];0.0;33
original;[60.0, 70.0];0.0;34
original;[70.0, 80.0];0.0;35
original;[80.0, 90.0];0.0;36
original;[90.0, 100.0];0.0;37
original;[100.0, 10000];0.0;38